heuristic,agents,profit,time,distance
one,8,260,9725.27,1391412.61
one,8,265,11297.80,1444534.78
one,8,270,12509.89,1456109.88
one,8,275,14071.43,1460413.20
one,8,280,14734.07,1534432.69
one,8,285,13238.46,1601814.54
one,8,290,13061.54,1738089.42
one,8,295,10259.34,1809472.75
one,10,5,729.67,60971.98
one,10,10,730.77,60971.98
one,10,15,823.08,61069.89
one,10,20,863.74,61631.66
one,10,25,767.03,65447.58
one,10,30,912.09,86586.50
one,10,35,843.96,87594.89
one,10,40,803.30,88555.18
one,10,45,859.34,132341.30
one,10,50,997.80,165094.70
one,10,55,1147.25,169160.13
one,10,60,1234.07,171296.65
one,10,65,1025.27,171296.65
one,10,70,1306.59,175842.66
one,10,75,945.05,196093.17
one,10,80,1305.49,196093.17
one,10,85,1150.55,218827.22
one,10,90,1229.67,223089.66
one,10,95,1107.69,226669.39
one,10,100,1130.77,250780.91
one,10,105,1163.74,251119.48
one,10,110,1476.92,251119.48
one,10,115,1317.58,271946.49
one,10,120,1115.38,333121.78
one,10,125,1265.93,333825.83
one,10,130,1153.85,360651.78
one,10,135,1517.58,392941.41
one,10,140,1320.88,397685.98
one,10,145,1273.63,402489.14
one,10,150,1448.35,403116.93
one,10,155,1829.67,413554.91
one,10,160,2052.75,454494.73
one,10,165,1465.93,481348.80
one,10,170,2014.29,505854.52
one,10,175,2890.11,522163.60
one,10,180,1948.35,556563.05
one,10,185,2941.76,621263.99
one,10,190,2754.95,662519.03
one,10,195,4160.44,778991.64
one,10,200,3049.45,802328.15
one,10,205,3200.00,900778.93
one,10,210,3136.26,926101.26
one,10,215,2693.41,940537.85
one,10,220,3193.41,942498.81
one,10,225,2876.92,956531.38
one,10,230,3267.03,994097.14
one,10,235,3454.95,1030083.46
one,10,240,3665.93,1072056.65
one,10,245,6497.80,1116840.90
one,10,250,6484.62,1302279.25
one,10,255,8581.32,1434114.29
one,10,260,9008.79,1478341.56
one,10,265,6293.41,1508797.24
one,10,270,6976.92,1518172.30
one,10,275,6764.84,1555857.32
one,10,280,11705.49,1662396.63
one,10,285,10326.37,1817261.05
one,10,290,11940.66,1945077.77
one,10,295,10895.60,2042750.74
two,1,5,4893.41,60922.88
two,1,10,3005.49,60922.88
two,1,15,2489.01,60992.34
two,1,20,4497.80,61538.91
two,1,25,4428.57,63525.48
two,1,30,13456.04,67035.31
two,1,35,9864.84,69889.52
