coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,4,4,45,119371.67
dist,6,4,45,119935.57
dist,8,4,45,119900.39
dist,10,4,45,119900.39
dist,1,8,45,66136.62
dist,2,8,45,104464.29
dist,3,8,45,109965.49
dist,4,8,45,110801.71
dist,6,8,45,110146.49
dist,8,8,45,111423.24
dist,10,8,45,111469.26
dist,1,16,45,65281.53
dist,2,16,45,88100.20
dist,3,16,45,92685.06
dist,4,16,45,93870.38
dist,6,16,45,95104.72
dist,8,16,45,95473.78
dist,10,16,45,95619.18
dist,1,32,45,64896.68
dist,2,32,45,87517.21
dist,3,32,45,94454.58
dist,4,32,45,97733.01
dist,6,32,45,101133.26
dist,8,32,45,103783.86
dist,10,32,45,100864.41
dist,1,1,50,98992.15
dist,2,1,50,165160.29
dist,3,1,50,165315.24
dist,4,1,50,165656.28
dist,6,1,50,158619.45
dist,8,1,50,158619.45
dist,10,1,50,158619.45
dist,1,2,50,92176.93
dist,2,2,50,147444.51
dist,3,2,50,151555.55
dist,4,2,50,162806.93
dist,6,2,50,159726.25
dist,8,2,50,159726.25
dist,10,2,50,159726.25
dist,1,4,50,89615.14
dist,2,4,50,141318.72
dist,3,4,50,150904.33
dist,4,4,50,152813.38
dist,6,4,50,150171.33
dist,8,4,50,150180.47
dist,10,4,50,150180.47
dist,1,8,50,80915.44
dist,2,8,50,128890.17
dist,3,8,50,136330.03
dist,4,8,50,137824.77
dist,6,8,50,139141.95
dist,8,8,50,139671.17
dist,10,8,50,139731.93
dist,1,16,50,80044.21
dist,2,16,50,126199.83
dist,3,16,50,133962.72
dist,4,16,50,137289.89
dist,6,16,50,142412.13
dist,8,16,50,142956.50
dist,10,16,50,143351.25
dist,1,32,50,74559.57
dist,2,32,50,121390.67
dist,3,32,50,139066.90
dist,4,32,50,149916.14
dist,6,32,50,158093.18
dist,8,32,50,160336.35
dist,10,32,50,158181.40
dist,1,1,55,156568.84
dist,2,1,55,167630.94
dist,3,1,55,173453.04
dist,4,1,55,173770.24
dist,6,1,55,174333.91
dist,8,1,55,174333.91
dist,10,1,55,174333.91
dist,1,2,55,153438.64
dist,2,2,55,170799.37
dist,3,2,55,176896.18
dist,4,2,55,176772.88
dist,6,2,55,177556.29
dist,8,2,55,177624.10
dist,10,2,55,177624.10
dist,1,4,55,143369.18
dist,2,4,55,173037.14
dist,3,4,55,179838.54
dist,4,4,55,181252.96
dist,6,4,55,183364.46
dist,8,4,55,183615.02
dist,10,4,55,183795.81
dist,1,8,55,126640.59
dist,2,8,55,165656.24
dist,3,8,55,180107.10
dist,4,8,55,182606.72
dist,6,8,55,185767.08
dist,8,8,55,186339.87
dist,10,8,55,186998.27
dist,1,16,55,125628.43
dist,2,16,55,165536.05
dist,3,16,55,177952.62
dist,4,16,55,183038.06
dist,6,16,55,186781.50
dist,8,16,55,188840.92
dist,10,16,55,189640.15
dist,1,32,55,98281.39
dist,2,32,55,160411.36
dist,3,32,55,186522.10
dist,4,32,55,202726.94
dist,6,32,55,216159.32
dist,8,32,55,224310.57
dist,10,32,55,220470.47
dist,1,1,60,161246.91
dist,2,1,60,169751.28
dist,3,1,60,175584.42
dist,4,1,60,175892.58
dist,6,1,60,176470.43
dist,8,1,60,176470.43
dist,10,1,60,176470.43
dist,1,2,60,155070.16
dist,2,2,60,174464.24
dist,3,2,60,179027.56
dist,4,2,60,178895.21
dist,6,2,60,179692.82
dist,8,2,60,179760.62
dist,10,2,60,179760.62
dist,1,4,60,156177.23
dist,2,4,60,176708.96
dist,3,4,60,182407.29
dist,4,4,60,183375.29
dist,6,4,60,185500.98
dist,8,4,60,185751.54
dist,10,4,60,185932.33
dist,1,8,60,155788.96
dist,2,8,60,172092.74
dist,3,8,60,184125.05
dist,4,8,60,185668.31
dist,6,8,60,188412.85
dist,8,8,60,189471.59
dist,10,8,60,190159.18
dist,1,16,60,152800.81
dist,2,16,60,170505.48
dist,3,16,60,182232.02
dist,4,16,60,187428.33
dist,6,16,60,190996.28
dist,8,16,60,195684.02
dist,10,16,60,195997.31
dist,1,32,60,129797.11
dist,2,32,60,189981.23
dist,3,32,60,211494.67
dist,4,32,60,222226.91
dist,6,32,60,230383.67
dist,8,32,60,238648.11
dist,10,32,60,249716.86
dist,1,1,65,161246.91
dist,2,1,65,169751.28
dist,3,1,65,175584.42
dist,4,1,65,175892.58
dist,6,1,65,176470.43
dist,8,1,65,176470.43
dist,10,1,65,176470.43
dist,1,2,65,155070.16
dist,2,2,65,174464.24
dist,3,2,65,179027.56
dist,4,2,65,178895.21
dist,6,2,65,179692.82
dist,8,2,65,179760.62
dist,10,2,65,179760.62
dist,1,4,65,156177.23
dist,2,4,65,176708.96
dist,3,4,65,182407.29
dist,4,4,65,183375.29
dist,6,4,65,185500.98
dist,8,4,65,185751.54
dist,10,4,65,185932.33
dist,1,8,65,157043.12
dist,2,8,65,172092.74
dist,3,8,65,184125.05
dist,4,8,65,185668.31
dist,6,8,65,188412.85
dist,8,8,65,189471.59
dist,10,8,65,190159.18
dist,1,16,65,156035.59
dist,2,16,65,172510.54
dist,3,16,65,184375.09
dist,4,16,65,188869.64
dist,6,16,65,194691.10
dist,8,16,65,198111.91
dist,10,16,65,197681.39
dist,1,32,65,137817.66
dist,2,32,65,192239.46
dist,3,32,65,221188.38
dist,4,32,65,228100.62
dist,6,32,65,236304.48
dist,8,32,65,245235.70
dist,10,32,65,257322.72
dist,1,1,70,161246.91
dist,2,1,70,169748.14
dist,3,1,70,180130.43
dist,4,1,70,180438.58
dist,6,1,70,181016.44
dist,8,1,70,181016.44
dist,10,1,70,181016.44
dist,1,2,70,155070.16
dist,2,2,70,174464.30
dist,3,2,70,183573.57
dist,4,2,70,183441.22
dist,6,2,70,184238.83
dist,8,2,70,184306.63
dist,10,2,70,184306.63
dist,1,4,70,156177.23
dist,2,4,70,176709.02
dist,3,4,70,183576.51
dist,4,4,70,184544.51
dist,6,4,70,186670.20
dist,8,4,70,186920.76
dist,10,4,70,187101.55
dist,1,8,70,157043.12
dist,2,8,70,172105.94
dist,3,8,70,189977.58
dist,4,8,70,191520.84
dist,6,8,70,194265.37
dist,8,8,70,195324.12
dist,10,8,70,196011.71
dist,1,16,70,156035.59
dist,2,16,70,173269.88
dist,3,16,70,185212.68
dist,4,16,70,190559.98
dist,6,16,70,194691.10
dist,8,16,70,198111.91
dist,10,16,70,198140.83
dist,1,32,70,140367.04
dist,2,32,70,195602.81
dist,3,32,70,223131.22
dist,4,32,70,231629.33
dist,6,32,70,240777.40
dist,8,32,70,247767.33
dist,10,32,70,260696.43
dist,1,1,75,162813.90
dist,2,1,75,179331.37
dist,3,1,75,187700.18
dist,4,1,75,197414.32
dist,6,1,75,201689.71
dist,8,1,75,201689.71
dist,10,1,75,201689.71
dist,1,2,75,158115.11
dist,2,2,75,183130.54
dist,3,2,75,189718.80
dist,4,2,75,197854.93
dist,6,2,75,203419.04
dist,8,2,75,203486.85
dist,10,2,75,203486.85
dist,1,4,75,159208.13
dist,2,4,75,185616.34
dist,3,4,75,191917.03
dist,4,4,75,203251.26
dist,6,4,75,205519.99
dist,8,4,75,205770.55
dist,10,4,75,205951.34
dist,1,8,75,160074.01
dist,2,8,75,180626.36
dist,3,8,75,199783.17
dist,4,8,75,209756.13
dist,6,8,75,212625.54
dist,8,8,75,213684.29
dist,10,8,75,214371.88
dist,1,16,75,157543.51
dist,2,16,75,183514.44
dist,3,16,75,199092.40
dist,4,16,75,212921.59
dist,6,16,75,217151.04
dist,8,16,75,220571.85
dist,10,16,75,220600.78
dist,1,32,75,140583.94
dist,2,32,75,198539.88
dist,3,32,75,230083.25
dist,4,32,75,246123.02
dist,6,32,75,262122.30
dist,8,32,75,269151.66
dist,10,32,75,282080.75
dist,1,1,80,170367.88
dist,2,1,80,187306.19
dist,3,1,80,195204.75
dist,4,1,80,200974.89
dist,6,1,80,201689.71
dist,8,1,80,201689.71
dist,10,1,80,201689.71
dist,1,2,80,169745.08
dist,2,2,80,187968.27
dist,3,2,80,198040.59
dist,4,2,80,202643.34
dist,6,2,80,203419.04
dist,8,2,80,203486.85
dist,10,2,80,203486.85
dist,1,4,80,170856.29
dist,2,4,80,192374.15
dist,3,4,80,198014.94
dist,4,4,80,203382.37
dist,6,4,80,206062.48
dist,8,4,80,206313.04
dist,10,4,80,206493.83
dist,1,8,80,171722.18
dist,2,8,80,187384.16
dist,3,8,80,203610.97
dist,4,8,80,209887.24
dist,6,8,80,213143.12
dist,8,8,80,214960.20
dist,10,8,80,215465.40
dist,1,16,80,170782.58
dist,2,16,80,192915.57
dist,3,16,80,209166.05
dist,4,16,80,213873.46
dist,6,16,80,218665.60
dist,8,16,80,222714.76
dist,10,16,80,222967.85
dist,1,32,80,151356.41
dist,2,32,80,235274.70
dist,3,32,80,244062.78
dist,4,32,80,266850.22
dist,6,32,80,288247.19
dist,8,32,80,299690.64
dist,10,32,80,311078.04
dist,1,1,85,188288.60
dist,2,1,85,201578.70
dist,3,1,85,208757.70
dist,4,1,85,215307.40
dist,6,1,85,216379.39
dist,8,1,85,216379.39
dist,10,1,85,216379.39
dist,1,2,85,175258.33
dist,2,2,85,202725.52
dist,3,2,85,210782.08
dist,4,2,85,216180.76
dist,6,2,85,217313.64
dist,8,2,85,217381.45
dist,10,2,85,217381.45
dist,1,4,85,174385.10
dist,2,4,85,202016.46
dist,3,4,85,207696.41
dist,4,4,85,213796.19
dist,6,4,85,216389.84
dist,8,4,85,216640.40
dist,10,4,85,216821.19
dist,1,8,85,175250.99
dist,2,8,85,196708.70
dist,3,8,85,213359.29
dist,4,8,85,219350.46
dist,6,8,85,223085.30
dist,8,8,85,224409.58
dist,10,8,85,225457.27
dist,1,16,85,172007.62
dist,2,16,85,202161.54
dist,3,16,85,218111.46
dist,4,16,85,222410.64
dist,6,16,85,227413.08
dist,8,16,85,231255.64
dist,10,16,85,231608.07
dist,1,32,85,162270.99
dist,2,32,85,270344.29
dist,3,32,85,278133.34
dist,4,32,85,290493.84
dist,6,32,85,307601.91
dist,8,32,85,307218.43
dist,10,32,85,316431.10
dist,1,1,90,188313.28
dist,2,1,90,203598.89
dist,3,1,90,213114.90
dist,4,1,90,221935.90
dist,6,1,90,222991.53
dist,8,1,90,222991.53
dist,10,1,90,222991.53
dist,1,2,90,175680.51
dist,2,2,90,207029.19
dist,3,2,90,216319.17
dist,4,2,90,223294.73
dist,6,2,90,224493.69
dist,8,2,90,224561.50
dist,10,2,90,224561.50
dist,1,4,90,176405.79
dist,2,4,90,209165.04
dist,3,4,90,215121.52
dist,4,4,90,228039.42
dist,6,4,90,231064.59
dist,8,4,90,231238.68
dist,10,4,90,231419.46
dist,1,8,90,177222.32
dist,2,8,90,203527.30
dist,3,8,90,220639.34
dist,4,8,90,231974.14
dist,6,8,90,236320.18
dist,8,8,90,237648.16
dist,10,8,90,238679.48
dist,1,16,90,177252.46
dist,2,16,90,209004.30
dist,3,16,90,226049.60
dist,4,16,90,231027.91
dist,6,16,90,236808.77
dist,8,16,90,240668.60
dist,10,16,90,241197.27
dist,1,32,90,168528.58
dist,2,32,90,278238.57
dist,3,32,90,287768.66
dist,4,32,90,299918.49
dist,6,32,90,322050.56
dist,8,32,90,317805.49
dist,10,32,90,327625.31
dist,1,1,95,188718.18
dist,2,1,95,203648.75
dist,3,1,95,217484.75
dist,4,1,95,225927.82
dist,6,1,95,228650.07
dist,8,1,95,228650.07
dist,10,1,95,228650.07
dist,1,2,95,176122.33
dist,2,2,95,209030.84
dist,3,2,95,219888.11
dist,4,2,95,227289.55
dist,6,2,95,228732.78
dist,8,2,95,230527.03
dist,10,2,95,230634.97
dist,1,4,95,176858.87
dist,2,4,95,211490.59
dist,3,4,95,225115.96
dist,4,4,95,233261.43
dist,6,4,95,236248.65
dist,8,4,95,237046.93
dist,10,4,95,237388.98
dist,1,8,95,177675.40
dist,2,8,95,206623.23
dist,3,8,95,230536.56
dist,4,8,95,237964.06
dist,6,8,95,244390.75
dist,8,8,95,246225.50
dist,10,8,95,247004.67
dist,1,16,95,177342.90
dist,2,16,95,211809.62
dist,3,16,95,231265.31
dist,4,16,95,241930.00
dist,6,16,95,253447.87
dist,8,16,95,258090.28
dist,10,16,95,258790.96
dist,1,32,95,169568.72
dist,2,32,95,278735.69
dist,3,32,95,291482.37
dist,4,32,95,301021.88
dist,6,32,95,325301.83
dist,8,32,95,323363.76
dist,10,32,95,334703.37
dist,1,1,100,188767.30
dist,2,1,100,212588.08
dist,3,1,100,233036.65
dist,4,1,100,241474.60
dist,6,1,100,248042.53
dist,8,1,100,249645.75
dist,10,1,100,249645.75
dist,1,2,100,176291.83
dist,2,2,100,218151.17
dist,3,2,100,235505.74
dist,4,2,100,243959.45
dist,6,2,100,249178.64
dist,8,2,100,251359.76
dist,10,2,100,251898.35
dist,1,4,100,177028.73
dist,2,4,100,220452.58
dist,3,4,100,237447.68
dist,4,4,100,247886.85
dist,6,4,100,253083.03
dist,8,4,100,254087.37
dist,10,4,100,254849.21
dist,1,8,100,177891.01
