agents,kmax,percent,ratio,profit,distance
1,10,80,0.21,5,60922.88
1,10,80,0.21,20,61538.91
1,10,80,0.21,35,69838.01
1,10,80,0.21,50,105907.26
1,10,80,0.21,65,142938.87
1,10,80,0.21,80,154994.64
1,10,80,0.21,95,166194.90
1,10,80,0.21,110,172790.28
1,10,80,0.21,125,177533.20
1,10,80,0.21,140,239345.48
1,10,80,0.21,155,241402.87
1,10,80,0.21,170,243324.04
1,10,80,0.21,185,250259.61
1,10,80,0.21,200,262966.93
1,10,80,0.21,215,305649.10
1,10,80,0.21,230,514591.57
1,10,80,0.21,245,516099.97
1,10,80,0.21,260,524278.96
1,10,80,0.21,275,607274.19
1,10,80,0.21,290,630930.69
1,10,80,0.22,5,60922.88
1,10,80,0.22,20,61538.91
1,10,80,0.22,35,69838.01
1,10,80,0.22,50,105907.26
1,10,80,0.22,65,142938.87
1,10,80,0.22,80,154994.64
1,10,80,0.22,95,166194.90
1,10,80,0.22,110,172790.28
1,10,80,0.22,125,177534.98
1,10,80,0.22,140,239354.38
1,10,80,0.22,155,241411.76
1,10,80,0.22,170,243332.94
1,10,80,0.22,185,250259.61
1,10,80,0.22,200,262751.66
1,10,80,0.22,215,305346.07
1,10,80,0.22,230,514460.47
1,10,80,0.22,245,515987.53
1,10,80,0.22,260,524315.10
1,10,80,0.22,275,606954.27
1,10,80,0.22,290,630262.61
1,10,80,0.23,5,60922.88
1,10,80,0.23,20,61538.91
1,10,80,0.23,35,69838.01
1,10,80,0.23,50,105907.26
1,10,80,0.23,65,142938.87
1,10,80,0.23,80,154994.64
1,10,80,0.23,95,166194.90
1,10,80,0.23,110,172790.28
1,10,80,0.23,125,177497.44
1,10,80,0.23,140,239354.38
1,10,80,0.23,155,241411.76
1,10,80,0.23,170,243332.94
1,10,80,0.23,185,250441.79
1,10,80,0.23,200,262751.49
1,10,80,0.23,215,305265.85
1,10,80,0.23,230,514460.47
1,10,80,0.23,245,515987.53
1,10,80,0.23,260,524389.39
