agents,kmax,percent,ratio,profit,distance
1,25,80,0.70,20,61538.91
1,25,80,0.70,35,68754.87
1,25,80,0.70,50,105937.03
1,25,80,0.70,65,142861.38
1,25,80,0.70,80,156353.50
1,25,80,0.70,95,166604.92
1,25,80,0.70,110,173437.16
1,25,80,0.70,125,177808.74
1,25,80,0.70,140,239226.46
1,25,80,0.70,155,241524.28
1,25,80,0.70,170,243332.50
1,25,80,0.70,185,250315.81
1,25,80,0.70,200,264819.99
1,25,80,0.70,215,310931.09
1,25,80,0.70,230,516334.94
1,25,80,0.70,245,517991.51
1,25,80,0.70,260,526203.26
1,25,80,0.70,275,605356.80
1,25,80,0.70,290,630820.19
1,26,80,0.70,5,60922.88
1,26,80,0.70,20,61538.91
1,26,80,0.70,35,68754.87
1,26,80,0.70,50,105937.03
1,26,80,0.70,65,142861.38
1,26,80,0.70,80,156353.50
1,26,80,0.70,95,166604.92
1,26,80,0.70,110,173437.16
1,26,80,0.70,125,177808.74
1,26,80,0.70,140,239226.46
1,26,80,0.70,155,241524.28
1,26,80,0.70,170,243332.50
1,26,80,0.70,185,250315.81
1,26,80,0.70,200,264819.99
1,26,80,0.70,215,310931.09
1,26,80,0.70,230,516334.94
1,26,80,0.70,245,517991.51
1,26,80,0.70,260,526203.26
1,26,80,0.70,275,605356.80
1,26,80,0.70,290,630820.19
1,27,80,0.70,5,60922.88
1,27,80,0.70,20,61538.91
1,27,80,0.70,35,68754.87
1,27,80,0.70,50,105937.03
1,27,80,0.70,65,142861.38
1,27,80,0.70,80,156353.50
1,27,80,0.70,95,166604.92
1,27,80,0.70,110,173437.16
1,27,80,0.70,125,177808.74
1,27,80,0.70,140,239226.46
1,27,80,0.70,155,241524.28
1,27,80,0.70,170,243332.50
1,27,80,0.70,185,250315.81
1,27,80,0.70,200,264819.99
1,27,80,0.70,215,310931.09
1,27,80,0.70,230,516334.94
1,27,80,0.70,245,517991.51
1,27,80,0.70,260,526203.26
1,27,80,0.70,275,605356.80
1,27,80,0.70,290,630820.19
1,28,80,0.70,5,60922.88
1,28,80,0.70,20,61538.91
1,28,80,0.70,35,68754.87
1,28,80,0.70,50,105937.03
1,28,80,0.70,65,142861.38
1,28,80,0.70,80,156353.50
1,28,80,0.70,95,166604.92
1,28,80,0.70,110,173437.16
1,28,80,0.70,125,177808.74
1,28,80,0.70,140,239226.46
1,28,80,0.70,155,241524.28
1,28,80,0.70,170,243332.50
1,28,80,0.70,185,250315.81
1,28,80,0.70,200,264819.99
1,28,80,0.70,215,310931.09
1,28,80,0.70,230,516334.94
1,28,80,0.70,245,517991.51
1,28,80,0.70,260,526203.26
1,28,80,0.70,275,605356.80
1,28,80,0.70,290,630820.19
1,29,80,0.70,5,60922.88
1,29,80,0.70,20,61538.91
1,29,80,0.70,35,68754.87
1,29,80,0.70,50,105937.03
1,29,80,0.70,65,142861.38
1,29,80,0.70,80,156353.50
1,29,80,0.70,95,166604.92
1,29,80,0.70,110,173437.16
1,29,80,0.70,125,177808.74
1,29,80,0.70,140,239226.46
1,29,80,0.70,155,241524.28
1,29,80,0.70,170,243332.50
1,29,80,0.70,185,250315.81
1,29,80,0.70,200,264819.99
1,29,80,0.70,215,310931.09
1,29,80,0.70,230,516334.94
1,29,80,0.70,245,517991.51
1,29,80,0.70,260,526203.26
1,29,80,0.70,275,605356.80
1,29,80,0.70,290,630820.19
3,1,80,0.70,5,60971.98
3,1,80,0.70,20,61631.66
3,1,80,0.70,35,87551.34
3,1,80,0.70,50,161149.38
3,1,80,0.70,65,171127.18
3,1,80,0.70,80,191877.90
3,1,80,0.70,95,220114.47
3,1,80,0.70,110,236654.12
3,1,80,0.70,125,303794.52
3,1,80,0.70,140,372802.25
3,1,80,0.70,155,373399.66
3,1,80,0.70,170,388975.09
3,1,80,0.70,185,412297.10
3,1,80,0.70,200,437513.59
3,1,80,0.70,215,614274.43
3,1,80,0.70,230,729329.45
3,1,80,0.70,245,758923.08
3,1,80,0.70,260,780991.33
3,1,80,0.70,275,936476.03
3,1,80,0.70,290,1072061.02
3,2,80,0.70,5,60971.98
3,2,80,0.70,20,61631.66
3,2,80,0.70,35,87551.34
3,2,80,0.70,50,161149.38
3,2,80,0.70,65,171127.18
3,2,80,0.70,80,191877.90
3,2,80,0.70,95,220089.13
3,2,80,0.70,110,236589.66
3,2,80,0.70,125,303789.38
3,2,80,0.70,140,372797.10
3,2,80,0.70,155,373394.51
3,2,80,0.70,170,388561.77
3,2,80,0.70,185,405188.19
3,2,80,0.70,200,432817.39
3,2,80,0.70,215,581218.78
3,2,80,0.70,230,716081.44
3,2,80,0.70,245,737546.29
3,2,80,0.70,260,759175.46
3,2,80,0.70,275,875818.63
3,2,80,0.70,290,992841.37
3,3,80,0.70,5,60971.98
3,3,80,0.70,20,61631.66
3,3,80,0.70,35,87551.34
3,3,80,0.70,50,161149.38
3,3,80,0.70,65,171127.18
3,3,80,0.70,80,191877.90
3,3,80,0.70,95,219910.57
3,3,80,0.70,110,236549.97
3,3,80,0.70,125,303789.38
3,3,80,0.70,140,372797.10
3,3,80,0.70,155,373394.51
3,3,80,0.70,170,388531.13
3,3,80,0.70,185,405125.32
3,3,80,0.70,200,432279.47
3,3,80,0.70,215,570151.63
3,3,80,0.70,230,712746.71
3,3,80,0.70,245,729277.44
3,3,80,0.70,260,757182.32
3,3,80,0.70,275,852362.15
3,3,80,0.70,290,976353.58
3,4,80,0.70,5,60971.98
3,4,80,0.70,20,61631.66
3,4,80,0.70,35,87551.34
3,4,80,0.70,50,161149.38
3,4,80,0.70,65,171127.18
3,4,80,0.70,80,191877.90
3,4,80,0.70,95,219847.69
3,4,80,0.70,110,236549.97
3,4,80,0.70,125,303789.38
3,4,80,0.70,140,372797.10
3,4,80,0.70,155,373394.51
3,4,80,0.70,170,388531.13
3,4,80,0.70,185,405125.32
3,4,80,0.70,200,432192.34
3,4,80,0.70,215,566180.77
3,4,80,0.70,230,711904.70
3,4,80,0.70,245,728435.42
3,4,80,0.70,260,757182.32
3,4,80,0.70,275,852145.60
3,4,80,0.70,290,970657.25
3,5,80,0.70,5,60971.98
3,5,80,0.70,20,61631.66
3,5,80,0.70,35,87551.34
3,5,80,0.70,50,161149.38
3,5,80,0.70,65,171127.18
3,5,80,0.70,80,191877.90
3,5,80,0.70,95,219801.58
3,5,80,0.70,110,236549.97
3,5,80,0.70,125,303789.38
3,5,80,0.70,140,372797.10
3,5,80,0.70,155,373394.51
3,5,80,0.70,170,388531.13
3,5,80,0.70,185,405125.32
3,5,80,0.70,200,432192.34
3,5,80,0.70,215,566180.77
3,5,80,0.70,230,711904.70
3,5,80,0.70,245,728435.42
3,5,80,0.70,260,757182.32
3,5,80,0.70,275,852145.60
3,5,80,0.70,290,970622.20
3,6,80,0.70,5,60971.98
3,6,80,0.70,20,61631.66
3,6,80,0.70,35,87551.34
3,6,80,0.70,50,161149.38
3,6,80,0.70,65,171127.18
3,6,80,0.70,80,191877.90
3,6,80,0.70,95,219801.58
3,6,80,0.70,110,236549.97
3,6,80,0.70,125,303789.38
3,6,80,0.70,140,372797.10
3,6,80,0.70,155,373394.51
3,6,80,0.70,170,388531.13
3,6,80,0.70,185,405125.32
3,6,80,0.70,200,432192.34
3,6,80,0.70,215,566180.77
3,6,80,0.70,230,711904.70
3,6,80,0.70,245,728435.42
3,6,80,0.70,260,757182.32
3,6,80,0.70,275,852145.60
3,6,80,0.70,290,970622.20
3,7,80,0.70,5,60971.98
3,7,80,0.70,20,61631.66
3,7,80,0.70,35,87551.34
3,7,80,0.70,50,161149.38
3,7,80,0.70,65,171127.18
3,7,80,0.70,80,191877.90
3,7,80,0.70,95,219801.58
3,7,80,0.70,110,236549.97
3,7,80,0.70,125,303789.38
3,7,80,0.70,140,372797.10
3,7,80,0.70,155,373394.51
3,7,80,0.70,170,388531.13
3,7,80,0.70,185,405125.32
3,7,80,0.70,200,432192.34
3,7,80,0.70,215,566180.77
3,7,80,0.70,230,711904.70
3,7,80,0.70,245,728435.42
3,7,80,0.70,260,757182.32
3,7,80,0.70,275,852145.60
3,7,80,0.70,290,970622.20
3,8,80,0.70,5,60971.98
3,8,80,0.70,20,61631.66
3,8,80,0.70,35,87551.34
3,8,80,0.70,50,161149.38
3,8,80,0.70,65,171127.18
3,8,80,0.70,80,191877.90
3,8,80,0.70,95,219801.58
3,8,80,0.70,110,236549.97
3,8,80,0.70,125,303789.38
3,8,80,0.70,140,372797.10
3,8,80,0.70,155,373394.51
3,8,80,0.70,170,388531.13
3,8,80,0.70,185,405125.32
3,8,80,0.70,200,432192.34
3,8,80,0.70,215,566180.77
3,8,80,0.70,230,711904.70
3,8,80,0.70,245,728435.42
3,8,80,0.70,260,757182.32
3,8,80,0.70,275,852145.60
3,8,80,0.70,290,970622.20
3,9,80,0.70,5,60971.98
3,9,80,0.70,20,61631.66
3,9,80,0.70,35,87551.34
3,9,80,0.70,50,161149.38
3,9,80,0.70,65,171127.18
3,9,80,0.70,80,191877.90
3,9,80,0.70,95,219801.58
3,9,80,0.70,110,236549.97
3,9,80,0.70,125,303789.38
3,9,80,0.70,140,372797.10
3,9,80,0.70,155,373394.51
3,9,80,0.70,170,388531.13
3,9,80,0.70,185,405125.32
3,9,80,0.70,200,432192.34
3,9,80,0.70,215,566180.77
3,9,80,0.70,230,711904.70
3,9,80,0.70,245,728435.42
3,9,80,0.70,260,757182.32
3,9,80,0.70,275,852145.60
3,9,80,0.70,290,970622.20
3,10,80,0.70,5,60971.98
3,10,80,0.70,20,61631.66
3,10,80,0.70,35,87551.34
3,10,80,0.70,50,161149.38
3,10,80,0.70,65,171127.18
3,10,80,0.70,80,191877.90
3,10,80,0.70,95,219801.58
3,10,80,0.70,110,236549.97
3,10,80,0.70,125,303789.38
3,10,80,0.70,140,372797.10
3,10,80,0.70,155,373394.51
3,10,80,0.70,170,388531.13
3,10,80,0.70,185,405125.32
3,10,80,0.70,200,432192.34
3,10,80,0.70,215,566180.77
3,10,80,0.70,230,711904.70
3,10,80,0.70,245,728435.42
3,10,80,0.70,260,757182.32
3,10,80,0.70,275,852145.60
3,10,80,0.70,290,970622.20
3,11,80,0.70,5,60971.98
3,11,80,0.70,20,61631.66
3,11,80,0.70,35,87551.34
3,11,80,0.70,50,161149.38
3,11,80,0.70,65,171127.18
3,11,80,0.70,80,191877.90
3,11,80,0.70,95,219801.58
3,11,80,0.70,110,236549.97
3,11,80,0.70,125,303789.38
3,11,80,0.70,140,372797.10
3,11,80,0.70,155,373394.51
3,11,80,0.70,170,388531.13
3,11,80,0.70,185,405125.32
3,11,80,0.70,200,432192.34
3,11,80,0.70,215,566180.77
3,11,80,0.70,230,711904.70
3,11,80,0.70,245,728435.42
3,11,80,0.70,260,757182.32
3,11,80,0.70,275,852145.60
3,11,80,0.70,290,970622.20
3,12,80,0.70,5,60971.98
3,12,80,0.70,20,61631.66
3,12,80,0.70,35,87551.34
3,12,80,0.70,50,161149.38
3,12,80,0.70,65,171127.18
3,12,80,0.70,80,191877.90
3,12,80,0.70,95,219801.58
3,12,80,0.70,110,236549.97
3,12,80,0.70,125,303789.38
3,12,80,0.70,140,372797.10
3,12,80,0.70,155,373394.51
3,12,80,0.70,170,388531.13
3,12,80,0.70,185,405125.32
3,12,80,0.70,200,432192.34
3,12,80,0.70,215,566180.77
3,12,80,0.70,230,711904.70
3,12,80,0.70,245,728435.42
3,12,80,0.70,260,757182.32
3,12,80,0.70,275,852145.60
